,Unnamed: 0,Unnamed: 0.1,First component,Second component,distance
16404,6805,6805,GO:0006096,GO:2000479,1.6647196734339065
16405,1051,1051,GO:0008588,GO:0061684,1.6646324092144524
16406,6690,6690,GO:0031915,GO:0007571,1.6646172025428991
16407,12500,12500,GO:0045087,GO:0042417,1.6644542432357556
16408,15207,15207,GO:0061684,GO:0008286,1.6644203495462069
16409,11505,11505,GO:0007259,GO:0006099,1.663831970785731
16410,1157,1157,GO:0009873,GO:0007259,1.6638125791817702
16411,10240,10240,GO:0046718,GO:0007623,1.6637549343782922
16412,12463,12463,GO:0045087,GO:0010506,1.6636068914745383
16413,10019,10019,GO:0032869,GO:0043161,1.6633253155023375
16414,136,136,GO:0010506,GO:0072378,1.662529097311706
16415,11365,11365,GO:0007596,GO:0008203,1.6623782323876548
16416,14199,14199,GO:2000479,GO:0006749,1.662247173116738
16417,7358,7358,GO:0006955,GO:0006690,1.6621866695396108
16418,3206,3206,GO:0030968,GO:0007571,1.6617615227909344
16419,16738,16738,GO:0007571,GO:0006690,1.6611357114789609
16420,9320,9320,GO:0006412,GO:0032869,1.6608594410704385
16421,5603,5603,GO:0046656,GO:0008203,1.6608420880313848
16422,11919,11919,GO:0048167,GO:0060333,1.6607250012317991
16423,4170,4170,GO:1902903,GO:0019227,1.660571884256095
16424,7580,7580,GO:0007623,GO:0046718,1.6598041671066306
16425,14975,14975,GO:0043491,GO:2000772,1.6594310425132786
16426,8011,8011,GO:0034696,GO:2000479,1.6594082239117462
16427,962,962,GO:0008588,GO:0016563,1.6593179044610928
16428,14170,14170,GO:2000479,GO:0019058,1.6592838301450477
16429,14160,14160,GO:2000479,GO:0001666,1.6591304635952977
16430,192,192,GO:0010506,GO:0006091,1.6588793300179934
16431,6490,6490,GO:0008152,GO:0006091,1.6585855763765949
16432,14688,14688,GO:0008203,GO:0038029,1.6578108369298303
16433,10040,10040,GO:0032869,GO:0007571,1.6576010922219395
16434,8728,8728,GO:0008286,GO:0000278,1.6570452494365535
16435,9290,9290,GO:0006412,GO:0006098,1.6570421284455812
16436,14608,14608,GO:0008203,GO:0072378,1.6567622565815132
16437,8764,8764,GO:0008286,GO:0006955,1.6564065628047842
16438,16582,16582,GO:0035559,GO:0019058,1.6555335216325928
16439,9978,9978,GO:0032869,GO:0019372,1.6554379411906293
16440,189,189,GO:0010506,GO:0033355,1.6553956500077187
16441,14620,14620,GO:0008203,GO:0019221,1.6542508296109049
16442,7113,7113,GO:0034205,GO:0004915,1.654032735335737
16443,1425,1425,GO:0051098,GO:0007259,1.653851446111508
16444,9295,9295,GO:0006412,GO:0031915,1.6538369407592095
16445,9262,9262,GO:0006412,GO:0019227,1.6529532558944324
16446,7750,7750,GO:0050790,GO:0070482,1.6526610644257704
16447,4446,4446,GO:0007050,GO:0016563,1.652174386501012
16448,8841,8841,GO:0008286,GO:0006958,1.6512219283386331
16449,10463,10463,GO:0007267,GO:0004915,1.651053244944583
16450,15348,15348,GO:0031575,GO:0005248,1.6509472209936604
16451,11782,11782,GO:0009649,GO:0007571,1.6509333880875383
16452,2815,2815,GO:1900271,GO:0010506,1.6499154926674504
16453,14191,14191,GO:2000479,GO:0006119,1.6496263862867715
16454,16493,16493,GO:0035559,GO:0004915,1.6493489138547204
16455,7014,7014,GO:1900407,GO:0060086,1.6491056299408704
16456,3361,3361,GO:0031016,GO:0004915,1.6489834533579206
16457,6157,6157,GO:1900452,GO:0060333,1.6487223945495582
16458,6858,6858,GO:0051414,GO:0016563,1.6481449108316788
16459,8551,8551,GO:0061621,GO:0008203,1.6480656283287864
16460,9302,9302,GO:0006412,GO:0007623,1.6472785223976476
16461,14185,14185,GO:2000479,GO:0006099,1.6469301523396958
16462,11440,11440,GO:0007259,GO:0006096,1.6464015275342505
16463,175,175,GO:0010506,GO:0046656,1.6461324192840483
16464,10652,10652,GO:0005249,GO:0022402,1.6459971294067404
16465,17887,17887,GO:0042987,GO:0008286,1.6459376975681324
16466,176,176,GO:0010506,GO:0042698,1.6458660170429709
16467,14885,14885,GO:0043491,GO:0004915,1.6458495974834857
16468,17360,17360,GO:0006749,GO:0032869,1.64576593956693
16469,379,379,GO:0072378,GO:0043491,1.645710419760763
16470,12035,12035,GO:0006935,GO:0008203,1.645697213078422
16471,11380,11380,GO:0007596,GO:0007571,1.6454800102183742
16472,255,255,GO:0010506,GO:0006119,1.6453746646983365
16473,14692,14692,GO:0008203,GO:0006595,1.6451536870314982
16474,5350,5350,GO:0000096,GO:0007571,1.6442087620156671
16475,5429,5429,GO:0071470,GO:0006412,1.6441902868674003
16476,13804,13804,GO:0043161,GO:0072378,1.6440859343155847
16477,7475,7475,GO:0033355,GO:2000479,1.6438565425634386
16478,10025,10025,GO:0032869,GO:0008203,1.6435643096375343
16479,16570,16570,GO:0035559,GO:0048167,1.6434299593607709
16480,9936,9936,GO:0032869,GO:0045222,1.642870410122813
16481,12681,12681,GO:0010468,GO:0007259,1.6426771759521792
16482,8700,8700,GO:0008653,GO:0007571,1.6424058042882919
16483,7071,7071,GO:1900407,GO:0043161,1.6419709287446809
16484,12097,12097,GO:0001666,GO:0010628,1.6417911294072287
16485,1521,1521,GO:0004915,GO:0019253,1.6417659861728624
16486,11013,11013,GO:0038029,GO:0031016,1.641214779372674
16487,14826,14826,GO:0004971,GO:0006595,1.6411041339612773
16488,15427,15427,GO:0006099,GO:0008292,1.640065100532619
16489,2888,2888,GO:1900271,GO:0032869,1.6394690247160295
16490,1554,1554,GO:0004915,GO:0019222,1.6390990846099205
16491,7688,7688,GO:0050790,GO:0006096,1.6387959866220736
16492,5847,5847,GO:0032313,GO:0007259,1.6385099108603547
16493,13854,13854,GO:0043161,GO:1900407,1.6382640823634609
16494,8614,8614,GO:0008653,GO:0042417,1.6375835730055677
16495,14867,14867,GO:0004971,GO:0060333,1.6373723194291236
16496,11063,11063,GO:0038029,GO:0030193,1.6372594415500594
16497,7005,7005,GO:1900407,GO:0010628,1.6367064055107534
16498,1524,1524,GO:0004915,GO:0006096,1.6366532554394504
16499,5867,5867,GO:0032313,GO:2000479,1.636196906925759
16500,7015,7015,GO:1900407,GO:0019253,1.6358390907388085
