,Unnamed: 0,Unnamed: 0.1,First component,Second component,distance
82,11900,11900,GO:0004683,GO:0006412,312.07407407407413
88,14559,14559,GO:0006412,GO:0005516,312.07407407407413
84,12302,12302,GO:0005513,GO:0006412,312.07407407407413
92,7478,7478,GO:0007265,GO:0006412,311.8333333333333
93,14527,14527,GO:0006412,GO:0007265,311.8333333333333
94,5602,5602,GO:0019227,GO:0006412,311.6666666666667
95,14515,14515,GO:0006412,GO:0005249,311.6666666666667
97,14514,14514,GO:0006412,GO:0005248,311.6666666666667
98,14513,14513,GO:0006412,GO:0019227,311.6666666666667
99,5870,5870,GO:0005249,GO:0006412,311.6666666666667
96,5736,5736,GO:0005248,GO:0006412,311.6666666666667
100,14446,14446,GO:0046685,GO:0006412,310.95833333333337
101,14579,14579,GO:0006412,GO:0046685,310.95833333333337
102,10024,10024,GO:0019722,GO:0006412,310.00000000000006
103,14546,14546,GO:0006412,GO:0019722,310.00000000000006
105,14524,14524,GO:0006412,GO:0042698,309.7979797979798
104,7076,7076,GO:0042698,GO:0006412,309.7979797979798
106,14539,14539,GO:0006412,GO:0009736,309.6111111111111
107,9086,9086,GO:0009736,GO:0006412,309.6111111111111
108,14540,14540,GO:0006412,GO:0009734,309.6111111111111
109,14541,14541,GO:0006412,GO:0009873,309.6111111111111
110,9220,9220,GO:0009734,GO:0006412,309.6111111111111
111,9354,9354,GO:0009873,GO:0006412,309.6111111111111
112,13374,13374,GO:0042987,GO:0006412,308.75
113,14571,14571,GO:0006412,GO:0042987,308.75
114,13508,13508,GO:0034205,GO:0006412,308.75
115,14572,14572,GO:0006412,GO:0034205,308.75
116,9890,9890,GO:0000302,GO:0006412,308.66666666666663
117,14545,14545,GO:0006412,GO:0000302,308.66666666666663
118,15652,15652,GO:0007179,GO:0006412,308.45454545454544
119,14588,14588,GO:0006412,GO:0007179,308.45454545454544
121,14531,14531,GO:0006412,GO:0070841,308.43750000000006
120,8014,8014,GO:0070841,GO:0006412,308.43750000000006
122,14534,14534,GO:0006412,GO:0030163,308.2000000000001
123,14535,14535,GO:0006412,GO:0016567,308.2000000000001
124,8550,8550,GO:0016567,GO:0006412,308.2000000000001
125,8416,8416,GO:0030163,GO:0006412,308.2000000000001
126,14605,14605,GO:0006412,GO:0006690,308.00000000000006
127,17930,17930,GO:0006690,GO:0006412,308.00000000000006
128,14489,14489,GO:0006412,GO:0007259,307.7914691943128
129,14488,14488,GO:0006412,GO:0004915,307.7914691943128
130,2386,2386,GO:0007259,GO:0006412,307.7914691943128
131,2252,2252,GO:0004915,GO:0006412,307.7914691943128
132,8282,8282,GO:0030193,GO:0006412,307.3333333333333
133,14533,14533,GO:0006412,GO:0030193,307.3333333333333
141,14982,14982,GO:0043161,GO:0006412,307.14285714285717
137,14581,14581,GO:0006412,GO:0016236,307.14285714285717
138,14848,14848,GO:0061684,GO:0006412,307.14285714285717
140,14714,14714,GO:0016236,GO:0006412,307.14285714285717
136,14582,14582,GO:0006412,GO:0061684,307.14285714285717
134,14584,14584,GO:0006412,GO:0042417,307.14285714285717
139,15116,15116,GO:0042417,GO:0006412,307.14285714285717
135,14583,14583,GO:0006412,GO:0043161,307.14285714285717
143,14484,14484,GO:0006412,GO:0000165,307.09523809523813
142,1716,1716,GO:0000165,GO:0006412,307.09523809523813
144,14491,14491,GO:0006412,GO:0006096,306.89285714285717
145,2654,2654,GO:0006096,GO:0006412,306.89285714285717
146,14499,14499,GO:0006412,GO:0019221,306.6363636363636
147,3726,3726,GO:0019221,GO:0006412,306.6363636363636
148,14498,14498,GO:0006412,GO:0070102,306.6363636363636
149,3592,3592,GO:0070102,GO:0006412,306.6363636363636
150,14596,14596,GO:0006412,GO:0072574,306.49275362318843
151,16724,16724,GO:0072574,GO:0006412,306.49275362318843
152,17796,17796,GO:0008286,GO:0006412,306.20765027322415
153,17662,17662,GO:1900407,GO:0006412,306.20765027322415
154,14604,14604,GO:0006412,GO:0008286,306.20765027322415
155,14603,14603,GO:0006412,GO:1900407,306.20765027322415
