,Unnamed: 0,First component,Second component,distance
8952,8952,GO:1902903,GO:0006412,316.50000000000006
14538,14538,GO:0006412,GO:1902903,316.50000000000006
14490,14490,GO:0006412,GO:0019253,316.2361111111112
2520,2520,GO:0019253,GO:0006412,316.2361111111112
4262,4262,GO:0033355,GO:0006412,315.0
4128,4128,GO:0009628,GO:0006412,315.0
14503,14503,GO:0006412,GO:0033355,315.0
14502,14502,GO:0006412,GO:0009628,315.0
8684,8684,GO:0032869,GO:0006412,314.468085106383
14536,14536,GO:0006412,GO:0032869,314.468085106383
14565,14565,GO:0006412,GO:0000114,314.00000000000006
12570,12570,GO:0000114,GO:0006412,314.00000000000006
376,376,GO:0010468,GO:0006412,313.92307692307685
14474,14474,GO:0006412,GO:0010468,313.92307692307685
14537,14537,GO:0006412,GO:2000479,313.86666666666673
8818,8818,GO:2000479,GO:0006412,313.86666666666673
14496,14496,GO:0006412,GO:1900452,313.33333333333337
3190,3190,GO:1900271,GO:0006412,313.33333333333337
14497,14497,GO:0006412,GO:0048167,313.33333333333337
14495,14495,GO:0006412,GO:1900271,313.33333333333337
3324,3324,GO:1900452,GO:0006412,313.33333333333337
3458,3458,GO:0048167,GO:0006412,313.33333333333337
14044,14044,GO:0010506,GO:0006412,312.8148148148148
14576,14576,GO:0006412,GO:0010506,312.8148148148148
14485,14485,GO:0006412,GO:0007571,312.5652173913044
1850,1850,GO:0007571,GO:0006412,312.5652173913044
1984,1984,GO:0008203,GO:0006412,312.5652173913044
14486,14486,GO:0006412,GO:0008203,312.5652173913044
12436,12436,GO:0046656,GO:0006412,312.50000000000006
15250,15250,GO:0045087,GO:0006412,312.50000000000006
14564,14564,GO:0006412,GO:0046656,312.50000000000006
14585,14585,GO:0006412,GO:0045087,312.50000000000006
9756,9756,GO:2000772,GO:0006412,312.1388888888889
14544,14544,GO:0006412,GO:2000772,312.1388888888889
11900,11900,GO:0004683,GO:0006412,312.07407407407413
12034,12034,GO:0004722,GO:0006412,312.07407407407413
12302,12302,GO:0005513,GO:0006412,312.07407407407413
12168,12168,GO:0031915,GO:0006412,312.07407407407413
11766,11766,GO:0005516,GO:0006412,312.07407407407413
14561,14561,GO:0006412,GO:0004722,312.07407407407413
14559,14559,GO:0006412,GO:0005516,312.07407407407413
14562,14562,GO:0006412,GO:0031915,312.07407407407413
14560,14560,GO:0006412,GO:0004683,312.07407407407413
14563,14563,GO:0006412,GO:0005513,312.07407407407413
7478,7478,GO:0007265,GO:0006412,311.8333333333333
14527,14527,GO:0006412,GO:0007265,311.8333333333333
5602,5602,GO:0019227,GO:0006412,311.6666666666667
14515,14515,GO:0006412,GO:0005249,311.6666666666667
5736,5736,GO:0005248,GO:0006412,311.6666666666667
14514,14514,GO:0006412,GO:0005248,311.6666666666667
14513,14513,GO:0006412,GO:0019227,311.6666666666667
5870,5870,GO:0005249,GO:0006412,311.6666666666667
14446,14446,GO:0046685,GO:0006412,310.95833333333337
14579,14579,GO:0006412,GO:0046685,310.95833333333337
10024,10024,GO:0019722,GO:0006412,310.00000000000006
14546,14546,GO:0006412,GO:0019722,310.00000000000006
7076,7076,GO:0042698,GO:0006412,309.7979797979798
14524,14524,GO:0006412,GO:0042698,309.7979797979798
14539,14539,GO:0006412,GO:0009736,309.6111111111111
9086,9086,GO:0009736,GO:0006412,309.6111111111111
14540,14540,GO:0006412,GO:0009734,309.6111111111111
14541,14541,GO:0006412,GO:0009873,309.6111111111111
9220,9220,GO:0009734,GO:0006412,309.6111111111111
9354,9354,GO:0009873,GO:0006412,309.6111111111111
13374,13374,GO:0042987,GO:0006412,308.75
14571,14571,GO:0006412,GO:0042987,308.75
13508,13508,GO:0034205,GO:0006412,308.75
14572,14572,GO:0006412,GO:0034205,308.75
9890,9890,GO:0000302,GO:0006412,308.66666666666663
14545,14545,GO:0006412,GO:0000302,308.66666666666663
15652,15652,GO:0007179,GO:0006412,308.45454545454544
14588,14588,GO:0006412,GO:0007179,308.45454545454544
8014,8014,GO:0070841,GO:0006412,308.43750000000006
14531,14531,GO:0006412,GO:0070841,308.43750000000006
14534,14534,GO:0006412,GO:0030163,308.2000000000001
14535,14535,GO:0006412,GO:0016567,308.2000000000001
8550,8550,GO:0016567,GO:0006412,308.2000000000001
8416,8416,GO:0030163,GO:0006412,308.2000000000001
14605,14605,GO:0006412,GO:0006690,308.00000000000006
17930,17930,GO:0006690,GO:0006412,308.00000000000006
14489,14489,GO:0006412,GO:0007259,307.7914691943128
14488,14488,GO:0006412,GO:0004915,307.7914691943128
2386,2386,GO:0007259,GO:0006412,307.7914691943128
2252,2252,GO:0004915,GO:0006412,307.7914691943128
8282,8282,GO:0030193,GO:0006412,307.3333333333333
14533,14533,GO:0006412,GO:0030193,307.3333333333333
14584,14584,GO:0006412,GO:0042417,307.14285714285717
14583,14583,GO:0006412,GO:0043161,307.14285714285717
14582,14582,GO:0006412,GO:0061684,307.14285714285717
14581,14581,GO:0006412,GO:0016236,307.14285714285717
14848,14848,GO:0061684,GO:0006412,307.14285714285717
15116,15116,GO:0042417,GO:0006412,307.14285714285717
14714,14714,GO:0016236,GO:0006412,307.14285714285717
14982,14982,GO:0043161,GO:0006412,307.14285714285717
1716,1716,GO:0000165,GO:0006412,307.09523809523813
14484,14484,GO:0006412,GO:0000165,307.09523809523813
14491,14491,GO:0006412,GO:0006096,306.89285714285717
2654,2654,GO:0006096,GO:0006412,306.89285714285717
14499,14499,GO:0006412,GO:0019221,306.6363636363636
3726,3726,GO:0019221,GO:0006412,306.6363636363636
14498,14498,GO:0006412,GO:0070102,306.6363636363636
3592,3592,GO:0070102,GO:0006412,306.6363636363636
14596,14596,GO:0006412,GO:0072574,306.49275362318843
16724,16724,GO:0072574,GO:0006412,306.49275362318843
17796,17796,GO:0008286,GO:0006412,306.2076502732241
17662,17662,GO:1900407,GO:0006412,306.2076502732241
14604,14604,GO:0006412,GO:0008286,306.2076502732241
14603,14603,GO:0006412,GO:1900407,306.2076502732241
14507,14507,GO:0006412,GO:0031016,306.1666666666667
14508,14508,GO:0006412,GO:0007267,306.1666666666667
4932,4932,GO:0007267,GO:0006412,306.1666666666667
4798,4798,GO:0031016,GO:0006412,306.1666666666667
14577,14577,GO:0006412,GO:0044419,306.14285714285717
14178,14178,GO:0044419,GO:0006412,306.14285714285717
14526,14526,GO:0006412,GO:0072378,306.0
7344,7344,GO:0072378,GO:0006412,306.0
14530,14530,GO:0006412,GO:0009649,305.7999999999999
7880,7880,GO:0009649,GO:0006412,305.7999999999999
3994,3994,GO:0050829,GO:0006412,305.5128205128205
14500,14500,GO:0006412,GO:0002456,305.5128205128205
14501,14501,GO:0006412,GO:0050829,305.5128205128205
3860,3860,GO:0002456,GO:0006412,305.5128205128205
14506,14506,GO:0006412,GO:0051414,305.3333333333333
4664,4664,GO:0051414,GO:0006412,305.3333333333333
13910,13910,GO:0038146,GO:0006412,305.04761904761915
13776,13776,GO:0038160,GO:0006412,305.04761904761915
14575,14575,GO:0006412,GO:0038146,305.04761904761915
14574,14574,GO:0006412,GO:0038160,305.04761904761915
14523,14523,GO:0006412,GO:0060086,304.93333333333334
6942,6942,GO:0060086,GO:0006412,304.93333333333334
14483,14483,GO:0006412,GO:0006935,304.83333333333337
1582,1582,GO:0006935,GO:0006412,304.83333333333337
14482,14482,GO:0006412,GO:0007596,304.0
1448,1448,GO:0007596,GO:0006412,304.0
5334,5334,GO:0071470,GO:0006412,303.8704318936877
14511,14511,GO:0006412,GO:0071470,303.8704318936877
5200,5200,GO:0061621,GO:0006412,303.72000000000014
5468,5468,GO:0006970,GO:0006412,303.72000000000014
14509,14509,GO:0006412,GO:0006973,303.72000000000014
5066,5066,GO:0006973,GO:0006412,303.72000000000014
14512,14512,GO:0006412,GO:0006970,303.72000000000014
14510,14510,GO:0006412,GO:0061621,303.72000000000014
14556,14556,GO:0006412,GO:0000161,303.43333333333334
11364,11364,GO:0000161,GO:0006412,303.43333333333334
510,510,GO:0060333,GO:0006412,303.40206185567
14475,14475,GO:0006412,GO:0060333,303.40206185567
6674,6674,GO:0007623,GO:0006412,303.1315789473685
14521,14521,GO:0006412,GO:0007623,303.1315789473685
14601,14601,GO:0006412,GO:0019372,303.0
17394,17394,GO:0019372,GO:0006412,303.0
14516,14516,GO:0006412,GO:0006098,302.6121212121212
6004,6004,GO:0006098,GO:0006412,302.6121212121212
6808,6808,GO:0006091,GO:0006412,302.4871794871795
14522,14522,GO:0006412,GO:0006091,302.4871794871795
14567,14567,GO:0006412,GO:0030383,302.45454545454544
12838,12838,GO:0030383,GO:0006412,302.45454545454544
14568,14568,GO:0006412,GO:0006955,302.45454545454544
12972,12972,GO:0006955,GO:0006412,302.45454545454544
7210,7210,GO:0097210,GO:0006412,302.41784037558693
14525,14525,GO:0006412,GO:0097210,302.41784037558693
14312,14312,GO:0032313,GO:0006412,302.2000000000001
14578,14578,GO:0006412,GO:0032313,302.2000000000001
14598,14598,GO:0006412,GO:0038029,302.1785714285715
16858,16858,GO:0035559,GO:0006412,302.1785714285715
16992,16992,GO:0038029,GO:0006412,302.1785714285715
14597,14597,GO:0006412,GO:0035559,302.1785714285715
912,912,GO:0042752,GO:0006412,302.1196130167106
14478,14478,GO:0006412,GO:0042752,302.1196130167106
14599,14599,GO:0006412,GO:0008653,302.00000000000006
17126,17126,GO:0008653,GO:0006412,302.00000000000006
17260,17260,GO:0008588,GO:0006412,302.00000000000006
14600,14600,GO:0006412,GO:0008588,302.00000000000006
14557,14557,GO:0006412,GO:0040014,301.6
11498,11498,GO:0040014,GO:0006412,301.6
14550,14550,GO:0006412,GO:0006956,301.0
10694,10694,GO:0006958,GO:0006412,301.0
10828,10828,GO:0001867,GO:0006412,301.0
14551,14551,GO:0006412,GO:0006958,301.0
14552,14552,GO:0006412,GO:0001867,301.0
10560,10560,GO:0006956,GO:0006412,301.0
6272,6272,GO:0006119,GO:0006412,300.76666666666665
6138,6138,GO:0006099,GO:0006412,300.76666666666665
14517,14517,GO:0006412,GO:0006099,300.76666666666665
14518,14518,GO:0006412,GO:0006119,300.76666666666665
14542,14542,GO:0006412,GO:0007050,300.4166666666667
14543,14543,GO:0006412,GO:0006281,300.4166666666667
9622,9622,GO:0006281,GO:0006412,300.4166666666667
9488,9488,GO:0007050,GO:0006412,300.4166666666667
17528,17528,GO:0036333,GO:0006412,300.1666666666667
14602,14602,GO:0006412,GO:0036333,300.1666666666667
14591,14591,GO:0006412,GO:0040020,299.6666666666667
16188,16188,GO:0051321,GO:0006412,299.6666666666667
16054,16054,GO:0040020,GO:0006412,299.6666666666667
14592,14592,GO:0006412,GO:0051321,299.6666666666667
16322,16322,GO:0030968,GO:0006412,299.66666666666663
14593,14593,GO:0006412,GO:0030968,299.66666666666663
7612,7612,GO:0007173,GO:0006412,298.7600000000001
14528,14528,GO:0006412,GO:0007173,298.7600000000001
1046,1046,GO:0000096,GO:0006412,298.0761904761905
14480,14480,GO:0006412,GO:0006595,298.0761904761905
14479,14479,GO:0006412,GO:0000096,298.0761904761905
1180,1180,GO:0006595,GO:0006412,298.0761904761905
16590,16590,GO:0002376,GO:0006412,298.0
14595,14595,GO:0006412,GO:0002376,298.0
14586,14586,GO:0006412,GO:0006749,297.5
15384,15384,GO:0006749,GO:0006412,297.5
14505,14505,GO:0006412,GO:0000278,297.0
4530,4530,GO:0000278,GO:0006412,297.0
6540,6540,GO:0070482,GO:0006412,293.2
6406,6406,GO:0001666,GO:0006412,293.2
14520,14520,GO:0006412,GO:0070482,293.2
14519,14519,GO:0006412,GO:0001666,293.2
14548,14548,GO:0006412,GO:0046718,284.33333333333337
14547,14547,GO:0006412,GO:0009814,284.33333333333337
14549,14549,GO:0006412,GO:0019058,284.33333333333337
10158,10158,GO:0009814,GO:0006412,284.33333333333337
10426,10426,GO:0019058,GO:0006412,284.33333333333337
10292,10292,GO:0046718,GO:0006412,284.33333333333337
15898,15898,GO:0070053,GO:1901576,222.47469458987783
11641,11641,GO:1901576,GO:0036363,222.47469458987783
11605,11605,GO:1901576,GO:0050790,222.47469458987783
15764,15764,GO:0036363,GO:1901576,222.47469458987783
13620,13620,GO:1901554,GO:1901576,222.47469458987783
11642,11642,GO:1901576,GO:0070053,222.47469458987783
10940,10940,GO:0050790,GO:1901576,222.47469458987783
11625,11625,GO:1901576,GO:1901554,222.47469458987783
13554,13554,GO:1901554,GO:0008152,221.11958405545928
2798,2798,GO:0008152,GO:0070053,221.11958405545928
2781,2781,GO:0008152,GO:1901554,221.11958405545928
10874,10874,GO:0050790,GO:0008152,221.11958405545928
2797,2797,GO:0008152,GO:0036363,221.11958405545928
15698,15698,GO:0036363,GO:0008152,221.11958405545928
2761,2761,GO:0008152,GO:0050790,221.11958405545928
15832,15832,GO:0070053,GO:0008152,221.11958405545928
11524,11524,GO:1901576,GO:0022402,216.47469458987786
2096,2096,GO:0031575,GO:1901576,216.47469458987786
86,86,GO:0022402,GO:1901576,216.47469458987786
11539,11539,GO:1901576,GO:0031575,216.47469458987786
4374,4374,GO:0008292,GO:1901576,215.97469458987786
11556,11556,GO:1901576,GO:0008292,215.97469458987786
2695,2695,GO:0008152,GO:0031575,215.11958405545928
2680,2680,GO:0008152,GO:0022402,215.11958405545928
20,20,GO:0022402,GO:0008152,215.11958405545928
2030,2030,GO:0031575,GO:0008152,215.11958405545928
11590,11590,GO:1901576,GO:1902903,214.97469458987786
8930,8930,GO:1902903,GO:1901576,214.97469458987786
2712,2712,GO:0008152,GO:0008292,214.61958405545928
4308,4308,GO:0008292,GO:0008152,214.61958405545928
13084,13084,GO:0016563,GO:1901576,214.47469458987783
11621,11621,GO:1901576,GO:0016563,214.47469458987783
11622,11622,GO:1901576,GO:0010628,214.47469458987783
13218,13218,GO:0010628,GO:1901576,214.47469458987783
8864,8864,GO:1902903,GO:0008152,213.61958405545928
2746,2746,GO:0008152,GO:1902903,213.61958405545928
2778,2778,GO:0008152,GO:0010628,213.11958405545928
2777,2777,GO:0008152,GO:0016563,213.11958405545928
13152,13152,GO:0010628,GO:0008152,213.11958405545928
13018,13018,GO:0016563,GO:0008152,213.11958405545928
11588,11588,GO:1901576,GO:0032869,212.9427796962608
8662,8662,GO:0032869,GO:1901576,212.9427796962608
12682,12682,GO:0004971,GO:1901576,212.72469458987786
11618,11618,GO:1901576,GO:0004971,212.72469458987786
11617,11617,GO:1901576,GO:0000114,212.47469458987786
12548,12548,GO:0000114,GO:1901576,212.47469458987786
1292,1292,GO:0031639,GO:1901576,212.47469458987786
11533,11533,GO:1901576,GO:0031639,212.47469458987786
8796,8796,GO:2000479,GO:1901576,212.3413612565445
11589,11589,GO:1901576,GO:2000479,212.3413612565445
15228,15228,GO:0045087,GO:1901576,211.97120418848166
12414,12414,GO:0046656,GO:1901576,211.97120418848166
11637,11637,GO:1901576,GO:0045087,211.97120418848166
11616,11616,GO:1901576,GO:0046656,211.97120418848166
3168,3168,GO:1900271,GO:1901576,211.804537521815
3302,3302,GO:1900452,GO:1901576,211.804537521815
3436,3436,GO:0048167,GO:1901576,211.804537521815
11549,11549,GO:1901576,GO:0048167,211.804537521815
11548,11548,GO:1901576,GO:1900452,211.804537521815
11547,11547,GO:1901576,GO:1900271,211.804537521815
2744,2744,GO:0008152,GO:0032869,211.58766916184223
8596,8596,GO:0032869,GO:0008152,211.58766916184223
11628,11628,GO:1901576,GO:0010506,211.5823152995928
14022,14022,GO:0010506,GO:1901576,211.5823152995928
12616,12616,GO:0004971,GO:0008152,211.36958405545928
2774,2774,GO:0008152,GO:0004971,211.36958405545928
12482,12482,GO:0000114,GO:0008152,211.11958405545928
2773,2773,GO:0008152,GO:0000114,211.11958405545928
2689,2689,GO:0008152,GO:0031639,211.11958405545928
1226,1226,GO:0031639,GO:0008152,211.11958405545928
2745,2745,GO:0008152,GO:2000479,210.98625072212596
8730,8730,GO:2000479,GO:0008152,210.98625072212596
2793,2793,GO:0008152,GO:0045087,210.60225303292896
15162,15162,GO:0045087,GO:0008152,210.60225303292896
12348,12348,GO:0046656,GO:0008152,210.60225303292896
2772,2772,GO:0008152,GO:0046656,210.60225303292896
3102,3102,GO:1900271,GO:0008152,210.43558636626227
3370,3370,GO:0048167,GO:0008152,210.43558636626227
2705,2705,GO:0008152,GO:0048167,210.43558636626227
2703,2703,GO:0008152,GO:1900271,210.43558636626227
3236,3236,GO:1900452,GO:0008152,210.43558636626227
2704,2704,GO:0008152,GO:1900452,210.43558636626227
2784,2784,GO:0008152,GO:0010506,210.21336414404004
13956,13956,GO:0010506,GO:0008152,210.21336414404004
11598,11598,GO:1901576,GO:0019722,209.47120418848166
4240,4240,GO:0033355,GO:1901576,209.47120418848166
4106,4106,GO:0009628,GO:1901576,209.47120418848166
11555,11555,GO:1901576,GO:0033355,209.47120418848166
10002,10002,GO:0019722,GO:1901576,209.47120418848166
11554,11554,GO:1901576,GO:0009628,209.47120418848166
17908,17908,GO:0006690,GO:1901576,208.47120418848166
11657,11657,GO:1901576,GO:0006690,208.47120418848166
9734,9734,GO:2000772,GO:1901576,208.19851657940663
11596,11596,GO:1901576,GO:2000772,208.19851657940663
4040,4040,GO:0009628,GO:0008152,208.10225303292896
2711,2711,GO:0008152,GO:0033355,208.10225303292896
2710,2710,GO:0008152,GO:0009628,208.10225303292896
2754,2754,GO:0008152,GO:0019722,208.10225303292896
4174,4174,GO:0033355,GO:0008152,208.10225303292896
9936,9936,GO:0019722,GO:0008152,208.10225303292896
1962,1962,GO:0008203,GO:1901576,207.9964337203126
1828,1828,GO:0007571,GO:1901576,207.9964337203126
11538,11538,GO:1901576,GO:0008203,207.9964337203126
11537,11537,GO:1901576,GO:0007571,207.9964337203126
17842,17842,GO:0006690,GO:0008152,207.10225303292896
2813,2813,GO:0008152,GO:0006690,207.10225303292896
9668,9668,GO:2000772,GO:0008152,206.83203350664357
2752,2752,GO:0008152,GO:2000772,206.83203350664357
2693,2693,GO:0008152,GO:0007571,206.6413231858941
1762,1762,GO:0007571,GO:0008152,206.6413231858941
1896,1896,GO:0008203,GO:0008152,206.6413231858941
2694,2694,GO:0008152,GO:0008203,206.6413231858941
9332,9332,GO:0009873,GO:1901576,206.5232693426411
9198,9198,GO:0009734,GO:1901576,206.5232693426411
9064,9064,GO:0009736,GO:1901576,206.5232693426411
11593,11593,GO:1901576,GO:0009873,206.5232693426411
11592,11592,GO:1901576,GO:0009734,206.5232693426411
11591,11591,GO:1901576,GO:0009736,206.5232693426411
354,354,GO:0010468,GO:1901576,205.47469458987786
11526,11526,GO:1901576,GO:0010468,205.47469458987786
9132,9132,GO:0009734,GO:0008152,205.14047756595417
8998,8998,GO:0009736,GO:0008152,205.14047756595417
9266,9266,GO:0009873,GO:0008152,205.14047756595417
2749,2749,GO:0008152,GO:0009873,205.14047756595417
2747,2747,GO:0008152,GO:0009736,205.14047756595417
2748,2748,GO:0008152,GO:0009734,205.14047756595417
11585,11585,GO:1901576,GO:0030193,205.13787085514838
8260,8260,GO:0030193,GO:1901576,205.13787085514838
11640,11640,GO:1901576,GO:0007179,205.10756782484526
15630,15630,GO:0007179,GO:1901576,205.10756782484526
2682,2682,GO:0008152,GO:0010468,204.11958405545928
288,288,GO:0010468,GO:0008152,204.11958405545928
11551,11551,GO:1901576,GO:0019221,203.8459463747422
3704,3704,GO:0019221,GO:1901576,203.8459463747422
3570,3570,GO:0070102,GO:1901576,203.8459463747422
11550,11550,GO:1901576,GO:0070102,203.8459463747422
2741,2741,GO:0008152,GO:0030193,203.76891969959564
8194,8194,GO:0030193,GO:0008152,203.76891969959564
11629,11629,GO:1901576,GO:0044419,203.75691847419603
14156,14156,GO:0044419,GO:1901576,203.75691847419603
15564,15564,GO:0007179,GO:0008152,203.73861666929253
2796,2796,GO:0008152,GO:0007179,203.73861666929253
17640,17640,GO:1900407,GO:1901576,202.89743369667838
11656,11656,GO:1901576,GO:0008286,202.89743369667838
11655,11655,GO:1901576,GO:1900407,202.89743369667838
17774,17774,GO:0008286,GO:1901576,202.89743369667838
8394,8394,GO:0030163,GO:1901576,202.71867364746947
8528,8528,GO:0016567,GO:1901576,202.71867364746947
11587,11587,GO:1901576,GO:0016567,202.71867364746947
11586,11586,GO:1901576,GO:0030163,202.71867364746947
788,788,GO:0019395,GO:0070053,202.53846153846152
15682,15682,GO:0036363,GO:0005739,202.53846153846152
617,617,GO:0005739,GO:0050790,202.53846153846152
10858,10858,GO:0050790,GO:0005739,202.53846153846152
13539,13539,GO:1901554,GO:0019395,202.53846153846152
10859,10859,GO:0050790,GO:0019395,202.53846153846152
653,653,GO:0005739,GO:0036363,202.53846153846152
654,654,GO:0005739,GO:0070053,202.53846153846152
637,637,GO:0005739,GO:1901554,202.53846153846152
13538,13538,GO:1901554,GO:0005739,202.53846153846152
787,787,GO:0019395,GO:0036363,202.53846153846152
771,771,GO:0019395,GO:1901554,202.53846153846152
15817,15817,GO:0070053,GO:0019395,202.53846153846152
751,751,GO:0019395,GO:0050790,202.53846153846152
15683,15683,GO:0036363,GO:0019395,202.53846153846152
15816,15816,GO:0070053,GO:0005739,202.53846153846152
3504,3504,GO:0070102,GO:0008152,202.49330392311333
3638,3638,GO:0019221,GO:0008152,202.49330392311333
2706,2706,GO:0008152,GO:0070102,202.49330392311333
2707,2707,GO:0008152,GO:0019221,202.49330392311333
14090,14090,GO:0044419,GO:0008152,202.38796731864326
2785,2785,GO:0008152,GO:0044419,202.38796731864326
7322,7322,GO:0072378,GO:1901576,201.71867364746947
11578,11578,GO:1901576,GO:0072378,201.71867364746947
11534,11534,GO:1901576,GO:0007596,201.66771378708555
1426,1426,GO:0007596,GO:1901576,201.66771378708555
2812,2812,GO:0008152,GO:0008286,201.52848254112567
2811,2811,GO:0008152,GO:1900407,201.52848254112567
17708,17708,GO:0008286,GO:0008152,201.52848254112567
17574,17574,GO:1900407,GO:0008152,201.52848254112567
11653,11653,GO:1901576,GO:0019372,201.47120418848166
17372,17372,GO:0019372,GO:1901576,201.47120418848166
2743,2743,GO:0008152,GO:0016567,201.36603119584052
8462,8462,GO:0016567,GO:0008152,201.36603119584052
8328,8328,GO:0030163,GO:0008152,201.36603119584052
2742,2742,GO:0008152,GO:0030163,201.36603119584052
2230,2230,GO:0004915,GO:1901576,201.01148854867125
11541,11541,GO:1901576,GO:0007259,201.01148854867125
11540,11540,GO:1901576,GO:0004915,201.01148854867125
2364,2364,GO:0007259,GO:1901576,201.01148854867125
7256,7256,GO:0072378,GO:0008152,200.36603119584052
2734,2734,GO:0008152,GO:0072378,200.36603119584052
2690,2690,GO:0008152,GO:0007596,200.2849220103986
1360,1360,GO:0007596,GO:0008152,200.2849220103986
17306,17306,GO:0019372,GO:0008152,200.10225303292896
2809,2809,GO:0008152,GO:0019372,200.10225303292896
2697,2697,GO:0008152,GO:0007259,199.6425373931185
2164,2164,GO:0004915,GO:0008152,199.6425373931185
2298,2298,GO:0007259,GO:0008152,199.6425373931185
2696,2696,GO:0008152,GO:0004915,199.6425373931185
10806,10806,GO:0001867,GO:1901576,199.47120418848166
10538,10538,GO:0006956,GO:1901576,199.47120418848166
11604,11604,GO:1901576,GO:0001867,199.47120418848166
11603,11603,GO:1901576,GO:0006958,199.47120418848166
11602,11602,GO:1901576,GO:0006956,199.47120418848166
10672,10672,GO:0006958,GO:1901576,199.47120418848166
17104,17104,GO:0008653,GO:1901576,198.11867364746945
11651,11651,GO:1901576,GO:0008653,198.11867364746945
11652,11652,GO:1901576,GO:0008588,198.11867364746945
17238,17238,GO:0008588,GO:1901576,198.11867364746945
10740,10740,GO:0001867,GO:0008152,198.10225303292896
10472,10472,GO:0006956,GO:0008152,198.10225303292896
2759,2759,GO:0008152,GO:0006958,198.10225303292896
2758,2758,GO:0008152,GO:0006956,198.10225303292896
10606,10606,GO:0006958,GO:0008152,198.10225303292896
2760,2760,GO:0008152,GO:0001867,198.10225303292896
11609,11609,GO:1901576,GO:0040014,197.67120418848168
11476,11476,GO:0040014,GO:1901576,197.67120418848168
11583,11583,GO:1901576,GO:0070841,197.40870418848166
7992,7992,GO:0070841,GO:1901576,197.40870418848166
2807,2807,GO:0008152,GO:0008653,196.76603119584053
17172,17172,GO:0008588,GO:0008152,196.76603119584053
17038,17038,GO:0008653,GO:0008152,196.76603119584053
2808,2808,GO:0008152,GO:0008588,196.76603119584053
11650,11650,GO:1901576,GO:0038029,196.54724507604092
11649,11649,GO:1901576,GO:0035559,196.54724507604092
16836,16836,GO:0035559,GO:1901576,196.54724507604092
16970,16970,GO:0038029,GO:1901576,196.54724507604092
685,685,GO:0019395,GO:0031575,196.53846153846152
4,4,GO:0022402,GO:0005739,196.53846153846152
536,536,GO:0005739,GO:0022402,196.53846153846152
551,551,GO:0005739,GO:0031575,196.53846153846152
670,670,GO:0019395,GO:0022402,196.53846153846152
5,5,GO:0022402,GO:0019395,196.53846153846152
2015,2015,GO:0031575,GO:0019395,196.53846153846152
2014,2014,GO:0031575,GO:0005739,196.53846153846152
11410,11410,GO:0040014,GO:0008152,196.30225303292892
2765,2765,GO:0008152,GO:0040014,196.30225303292892
7926,7926,GO:0070841,GO:0008152,196.03975303292896
